manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
פורד,2015,אס-מקס,3,אוטומטית,2000,בנזין,פרטית,פרטית,טבריה והסביבה,טבריה,35000.0,3,26/08/2021,16/05/2023,"רכב 7 מקומות במצב חדש פנימי וחיצוני מטופל ומתוחזק עם הסטוריית טיפולים מלאה במוסך מורשה, רכב פצצה נדיר, נסיעה חלקה, עם וו גרירה , מסך אנדרואיד מובנה+מסך ילדים, מצלמת רוורס+חיישן מרחק רוורס,",כסוף מטאלי,150000,
פורד,2012,פוקוס,4,רובוטית,1600,בנזין,פרטית,פרטית,באר שבע והסביבה,באר שבע,20000.0,3,16/05/2023,16/05/2023,"רכב מצויין , שקט ונוסע מצויין הרכב הוא דגם ספורט עם מערכת של סוני בעלת 7 רמקולים מצויינים , בקרת אקלים מפוצלת וקרוז קונטרול , ברשיון מספר הידיים זה 03 , צמיגים גנטים ומצבר חדשים לגמרי . גמיש במידה ליד הרכב .",כסוף,162000,
פורד,2004,פוקוס,2,אוטומטית,1600,בנזין,פרטית,פרטית,רעננה - כפר סבא,כפר סבא,7500.0,4,16/04/2023,16/04/2023,"פורד פוקוס האצ׳בק 2004 יד 2192,000 ק״מ בבעלותי כ7 שנים מטופל ושמור מכנית בקנאות מזגן מקפיא פנסי חזית חדשים מערכת בטיחות מובילאיי ומצלמת רכב צמיגים לפני כחצי שנהכל הקודם זוכה!מוכר עקב קבלת רכב מהעבודה",אפור,192000,
פורד,2012,פוקוס,3,אוטומטית,2000,בנזין,פרטית,פרטית,גליל ועמקים,צפת,14900.0,0,25/02/2024,25/02/2024,"בס""ד רכב טוב ללא תקלות מנוע 2000... 170 כ""ס ..למי שאוהב רכב עם כוח",אפור עכבר,197000,
פורד,2008,מונדאו,4,אוטומטית,2000,בנזין,פרטית,פרטית,קריות,קרית אתא,7000.0,6,16/12/2022,16/12/2022,תוספות				0537314615			,כחול בהיר,230000,
פורד,2009,פוקוס,4,אוטומטית,1600,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,14000.0,5,07/12/2022,07/12/2022,רכב אמין וחזק קמ נמוך יחסית לשנה מוכר עכב גיוס ,כסוף,132000,
פורד,2012,פוקוס,2,רובוטית,1600,בנזין,ליסינג,פרטית,חיפה וחוף הכרמל,חיפה,18000.0,4,09/11/2022,09/11/2022,רכב חזק 0 תקלות שימש אותי 7 שנים באהבה שמור טיפולים בזמן טסת חדש צמיגים חדשים דיסקים טיפול רכב שמור נקי לק עת ולסוע,כחול כהה,175000,
פורד,2008,מוסטנג,1,אוטומטית,4000,בנזין,,,ירושלים והסביבה,ירושלים,84000.0,1,29/10/2022,29/10/2022,שמור בבעלותי 10שנים ללא תאונות התחיבות בבדיקה,nan,120000,
פורד,2010,מונדאו,3,אוטומטית,2300,בנזין,,,יישובי השומרון,אורנית,18000.0,1,27/10/2022,27/10/2022,"דגם טיטניום הצבק, במצב מצוין, אצלנו 9 שנים כרכב שני במשפחה",nan,134500,
פורד,2011,פוקוס,2,אוטומטית,1600,בנזין,,,מודיעין והסביבה,מודיעין מכבים רעות,13000.0,1,26/10/2022,26/10/2022,מצב טוב מטופל במוסך מורשה טסט עד מאי,nan,302000,
